TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0442917	Damr_H5	Dnov_4	0.0000	0.0093	0.00100	100.00	99.68
FBtr0442917	Damr_H5	Damr_w11	0.0038	0.0000	99.00000	99.03	99.68
FBtr0442917	Damr_H5	Damr_ML95	0.0228	0.0002	99.00000	96.12	98.38
FBtr0442917	Damr_H5	Dvir_S9	0.0243	0.2227	0.10921	94.17	94.50
FBtr0442917	Damr_H5	Dvir_87	0.0245	0.2366	0.10368	94.17	94.17
FBtr0442917	Damr_H5	Dlum_LM8	0.0250	0.0517	0.48422	95.15	96.76
FBtr0442917	Dnov_4	Damr_w11	0.0040	0.0178	0.22675	99.03	99.35
FBtr0442917	Dnov_4	Damr_ML95	0.0230	0.0120	1.91799	96.12	98.06
FBtr0442917	Dnov_4	Dvir_S9	0.0241	0.2088	0.11540	94.17	94.82
FBtr0442917	Dnov_4	Dvir_87	0.0243	0.2227	0.10921	94.17	94.50
FBtr0442917	Dnov_4	Dlum_LM8	0.0248	0.0352	0.70551	95.15	97.09
FBtr0442917	Damr_w11	Damr_ML95	0.0192	0.0002	99.00000	97.09	98.71
FBtr0442917	Damr_w11	Dvir_S9	0.0204	0.2146	0.09484	95.15	94.82
FBtr0442917	Damr_w11	Dvir_87	0.0205	0.2280	0.09009	95.15	94.50
FBtr0442917	Damr_w11	Dlum_LM8	0.0212	0.0482	0.43957	96.12	97.09
FBtr0442917	Damr_ML95	Dvir_S9	0.0306	0.1726	0.17705	94.17	94.17
FBtr0442917	Damr_ML95	Dvir_87	0.0308	0.1862	0.16526	94.17	93.85
FBtr0442917	Damr_ML95	Dlum_LM8	0.0411	0.0389	1.05622	93.20	95.79
FBtr0442917	Dvir_S9	Dvir_87	0.0000	0.0090	0.00100	100.00	99.68
FBtr0442917	Dvir_S9	Dlum_LM8	0.0248	0.1888	0.13130	95.15	94.50
FBtr0442917	Dvir_87	Dlum_LM8	0.0250	0.2028	0.12327	95.15	94.17
