TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0443806	Damr_H5	Damr_w11	0.0028	0.0270	0.10291	99.48	99.17
FBtr0443806	Damr_H5	Dlum_LM8	0.0037	0.0280	0.13088	99.07	98.58
FBtr0443806	Damr_H5	Dnov_4	0.0041	0.0349	0.11813	99.17	98.93
FBtr0443806	Damr_H5	Dvir_S9	0.0056	0.0759	0.07367	98.86	97.93
FBtr0443806	Damr_H5	Dvir_87	0.0056	0.0705	0.07943	98.86	98.03
FBtr0443806	Damr_w11	Dlum_LM8	0.0018	0.0323	0.05698	99.38	98.62
FBtr0443806	Damr_w11	Dnov_4	0.0023	0.0339	0.06893	99.48	99.07
FBtr0443806	Damr_w11	Dvir_S9	0.0037	0.0776	0.04796	99.17	98.07
FBtr0443806	Damr_w11	Dvir_87	0.0037	0.0748	0.05003	99.17	98.10
FBtr0443806	Dlum_LM8	Dnov_4	0.0014	0.0332	0.04135	99.48	98.65
FBtr0443806	Dlum_LM8	Dvir_S9	0.0029	0.0584	0.04975	99.17	97.82
FBtr0443806	Dlum_LM8	Dvir_87	0.0029	0.0557	0.05260	99.17	97.86
FBtr0443806	Dnov_4	Dvir_S9	0.0042	0.0805	0.05249	99.07	97.93
FBtr0443806	Dnov_4	Dvir_87	0.0042	0.0777	0.05465	99.07	97.96
FBtr0443806	Dvir_S9	Dvir_87	0.0009	0.0109	0.08454	99.79	99.69
