TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0442651	Dvir_S9	Dvir_87	0.0000	0.0083	0.00100	100.00	99.66
FBtr0442651	Dvir_S9	Dlum_LM8	0.0000	0.0083	0.00100	97.48	96.98
FBtr0442651	Dvir_S9	Damr_ML95	0.0053	0.0712	0.07472	95.97	95.55
FBtr0442651	Dvir_S9	Damr_w11	0.0026	0.0777	0.03327	96.47	95.89
FBtr0442651	Dvir_S9	Damr_H5	0.0026	0.0725	0.03639	96.73	95.63
FBtr0442651	Dvir_S9	Dnov_4	0.0091	0.1070	0.08539	95.47	95.13
FBtr0442651	Dvir_S9	Dmon_Oul	0.0411	0.1555	0.26439	83.12	84.55
FBtr0442651	Dvir_87	Dlum_LM8	0.0000	0.0000	0.00100	97.48	97.23
FBtr0442651	Dvir_87	Damr_ML95	0.0053	0.0679	0.07794	95.97	95.55
FBtr0442651	Dvir_87	Damr_w11	0.0026	0.0745	0.03447	96.47	95.89
FBtr0442651	Dvir_87	Damr_H5	0.0026	0.0693	0.03779	96.73	95.63
FBtr0442651	Dvir_87	Dnov_4	0.0091	0.1033	0.08803	95.47	95.13
FBtr0442651	Dvir_87	Dmon_Oul	0.0409	0.1413	0.28933	83.12	84.89
FBtr0442651	Dlum_LM8	Damr_ML95	0.0053	0.0679	0.07794	95.97	95.30
FBtr0442651	Dlum_LM8	Damr_w11	0.0026	0.0745	0.03447	96.47	95.55
FBtr0442651	Dlum_LM8	Damr_H5	0.0026	0.0693	0.03779	96.73	95.38
FBtr0442651	Dlum_LM8	Dnov_4	0.0091	0.1033	0.08803	95.47	94.71
FBtr0442651	Dlum_LM8	Dmon_Oul	0.0409	0.1413	0.28933	83.38	84.21
FBtr0442651	Damr_ML95	Damr_w11	0.0026	0.0091	0.28718	99.50	99.50
FBtr0442651	Damr_ML95	Damr_H5	0.0029	0.0132	0.22266	99.24	98.91
FBtr0442651	Damr_ML95	Dnov_4	0.0092	0.0363	0.25409	97.73	98.24
FBtr0442651	Damr_ML95	Dmon_Oul	0.0416	0.1266	0.32871	83.12	85.56
FBtr0442651	Damr_w11	Damr_H5	0.0000	0.0137	0.00100	99.75	99.24
FBtr0442651	Damr_w11	Dnov_4	0.0064	0.0408	0.15577	98.24	98.57
FBtr0442651	Damr_w11	Dmon_Oul	0.0414	0.1175	0.35265	83.38	85.81
FBtr0442651	Damr_H5	Dnov_4	0.0066	0.0444	0.14922	98.49	98.15
FBtr0442651	Damr_H5	Dmon_Oul	0.0413	0.1300	0.31769	83.38	85.47
FBtr0442651	Dnov_4	Dmon_Oul	0.0426	0.1686	0.25294	82.87	85.22
