TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0232931	Damr_w11	Dnov_4	0.0000	0.0245	0.00100	100.00	98.79
FBtr0232931	Damr_w11	Damr_ML95	0.0000	0.0000	99.00000	100.00	99.52
FBtr0232931	Damr_w11	Damr_H5	0.0048	0.0000	99.00000	99.28	99.52
FBtr0232931	Damr_w11	Dvir_S9	0.0000	0.0379	0.00100	99.28	96.86
FBtr0232931	Damr_w11	Dvir_87	0.0000	0.0293	0.00100	99.28	96.86
FBtr0232931	Damr_w11	Dlum_LM8	0.0000	0.0080	0.00100	99.28	96.14
FBtr0232931	Damr_w11	Dmon_Oul	0.0040	0.1026	0.03861	98.55	96.14
FBtr0232931	Damr_w11	Dmon_Col	0.0039	0.0824	0.04673	92.75	90.58
FBtr0232931	Damr_w11	Dmon_Van	0.0039	0.0824	0.04673	92.03	89.61
FBtr0232931	Dnov_4	Damr_ML95	0.0000	0.0245	0.00100	100.00	98.79
FBtr0232931	Dnov_4	Damr_H5	0.0048	0.0247	0.19578	99.28	98.79
FBtr0232931	Dnov_4	Dvir_S9	0.0001	0.0641	0.00100	99.28	96.14
FBtr0232931	Dnov_4	Dvir_87	0.0001	0.0551	0.00100	99.28	96.14
FBtr0232931	Dnov_4	Dlum_LM8	0.0000	0.0330	0.00100	99.28	95.41
FBtr0232931	Dnov_4	Dmon_Oul	0.0041	0.1340	0.03047	98.55	95.41
FBtr0232931	Dnov_4	Dmon_Col	0.0040	0.1132	0.03537	92.75	90.10
FBtr0232931	Dnov_4	Dmon_Van	0.0040	0.1132	0.03537	92.03	89.13
FBtr0232931	Damr_ML95	Damr_H5	0.0048	0.0000	99.00000	99.28	99.52
FBtr0232931	Damr_ML95	Dvir_S9	0.0000	0.0379	0.00100	99.28	96.86
FBtr0232931	Damr_ML95	Dvir_87	0.0000	0.0293	0.00100	99.28	96.86
FBtr0232931	Damr_ML95	Dlum_LM8	0.0000	0.0080	0.00100	99.28	96.38
FBtr0232931	Damr_ML95	Dmon_Oul	0.0040	0.1026	0.03861	98.55	96.14
FBtr0232931	Damr_ML95	Dmon_Col	0.0039	0.0824	0.04673	92.75	90.58
FBtr0232931	Damr_ML95	Dmon_Van	0.0039	0.0824	0.04673	92.03	89.61
FBtr0232931	Damr_H5	Dvir_S9	0.0042	0.0319	0.13184	98.55	96.86
FBtr0232931	Damr_H5	Dvir_87	0.0041	0.0224	0.18278	98.55	96.86
FBtr0232931	Damr_H5	Dlum_LM8	0.0048	0.0080	0.60229	98.55	96.14
FBtr0232931	Damr_H5	Dmon_Oul	0.0082	0.0958	0.08515	97.83	96.14
FBtr0232931	Damr_H5	Dmon_Col	0.0080	0.0750	0.10646	92.03	90.58
FBtr0232931	Damr_H5	Dmon_Van	0.0080	0.0750	0.10646	91.30	89.61
FBtr0232931	Dvir_S9	Dvir_87	0.0001	0.0514	0.00100	100.00	99.03
FBtr0232931	Dvir_S9	Dlum_LM8	0.0000	0.0461	0.00100	99.28	95.65
FBtr0232931	Dvir_S9	Dmon_Oul	0.0039	0.1465	0.02694	98.55	95.41
FBtr0232931	Dvir_S9	Dmon_Col	0.0039	0.1252	0.03090	92.75	90.34
FBtr0232931	Dvir_S9	Dmon_Van	0.0039	0.1252	0.03090	92.03	89.37
FBtr0232931	Dvir_87	Dlum_LM8	0.0000	0.0375	0.00100	99.28	95.89
FBtr0232931	Dvir_87	Dmon_Oul	0.0039	0.1350	0.02895	98.55	95.41
FBtr0232931	Dvir_87	Dmon_Col	0.0038	0.1140	0.03355	92.75	90.34
FBtr0232931	Dvir_87	Dmon_Van	0.0038	0.1140	0.03355	92.03	89.37
FBtr0232931	Dlum_LM8	Dmon_Oul	0.0039	0.0931	0.04193	98.55	94.44
FBtr0232931	Dlum_LM8	Dmon_Col	0.0038	0.0731	0.05166	92.75	89.13
FBtr0232931	Dlum_LM8	Dmon_Van	0.0038	0.0731	0.05166	92.03	88.16
FBtr0232931	Dmon_Oul	Dmon_Col	0.0000	0.0162	0.00100	94.20	93.48
FBtr0232931	Dmon_Oul	Dmon_Van	0.0000	0.0162	0.00100	93.48	92.51
FBtr0232931	Dmon_Col	Dmon_Van	0.0000	0.0000	0.00100	99.28	99.03
