TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0239560	Dvir_S9	Dvir_87	0.0000	0.0061	0.00100	100.00	99.52
FBtr0239560	Dvir_S9	Dlum_LM8	0.0000	0.0122	0.00100	99.71	97.33
FBtr0239560	Dvir_S9	Damr_H5	0.0028	0.0347	0.08136	99.14	96.86
FBtr0239560	Dvir_S9	Damr_ML95	0.0043	0.0293	0.14641	98.86	97.14
FBtr0239560	Dvir_S9	Damr_w11	0.0028	0.0277	0.09962	99.14	97.33
FBtr0239560	Dvir_S9	Dnov_4	0.0028	0.0491	0.05721	99.14	96.95
FBtr0239560	Dvir_S9	Dmon_Col	0.0175	0.0499	0.35051	96.00	95.90
FBtr0239560	Dvir_S9	Dmon_Oul	0.0175	0.0499	0.35051	96.00	96.00
FBtr0239560	Dvir_S9	Dmon_Van	0.0175	0.0499	0.35051	96.00	96.00
FBtr0239560	Dvir_87	Dlum_LM8	0.0000	0.0061	0.00100	99.71	97.52
FBtr0239560	Dvir_87	Damr_H5	0.0028	0.0277	0.09970	99.14	96.76
FBtr0239560	Dvir_87	Damr_ML95	0.0042	0.0221	0.19056	98.86	97.05
FBtr0239560	Dvir_87	Damr_w11	0.0028	0.0277	0.09966	99.14	97.05
FBtr0239560	Dvir_87	Dnov_4	0.0028	0.0421	0.06548	99.14	96.86
FBtr0239560	Dvir_87	Dmon_Col	0.0175	0.0499	0.35068	96.00	95.81
FBtr0239560	Dvir_87	Dmon_Oul	0.0175	0.0499	0.35068	96.00	95.90
FBtr0239560	Dvir_87	Dmon_Van	0.0175	0.0499	0.35068	96.00	95.90
FBtr0239560	Dlum_LM8	Damr_H5	0.0027	0.0204	0.13089	99.14	96.76
FBtr0239560	Dlum_LM8	Damr_ML95	0.0041	0.0144	0.28265	98.86	97.05
FBtr0239560	Dlum_LM8	Damr_w11	0.0027	0.0204	0.13072	99.14	97.05
FBtr0239560	Dlum_LM8	Dnov_4	0.0027	0.0350	0.07693	99.14	96.86
FBtr0239560	Dlum_LM8	Dmon_Col	0.0174	0.0421	0.41302	96.00	95.24
FBtr0239560	Dlum_LM8	Dmon_Oul	0.0174	0.0421	0.41302	96.00	95.33
FBtr0239560	Dlum_LM8	Dmon_Van	0.0174	0.0421	0.41302	96.00	95.33
FBtr0239560	Damr_H5	Damr_ML95	0.0013	0.0157	0.08427	99.71	99.24
FBtr0239560	Damr_H5	Damr_w11	0.0000	0.0225	0.00100	100.00	99.24
FBtr0239560	Damr_H5	Dnov_4	0.0000	0.0306	0.00100	100.00	99.14
FBtr0239560	Damr_H5	Dmon_Col	0.0173	0.0600	0.28875	96.00	95.90
FBtr0239560	Damr_H5	Dmon_Oul	0.0173	0.0600	0.28875	96.00	96.00
FBtr0239560	Damr_H5	Dmon_Van	0.0173	0.0600	0.28875	96.00	96.00
FBtr0239560	Damr_ML95	Damr_w11	0.0013	0.0157	0.08412	99.71	99.43
FBtr0239560	Damr_ML95	Dnov_4	0.0013	0.0302	0.04431	99.71	99.24
FBtr0239560	Damr_ML95	Dmon_Col	0.0189	0.0548	0.34402	95.71	96.19
FBtr0239560	Damr_ML95	Dmon_Oul	0.0189	0.0548	0.34402	95.71	96.29
FBtr0239560	Damr_ML95	Dmon_Van	0.0189	0.0548	0.34402	95.71	96.29
FBtr0239560	Damr_w11	Dnov_4	0.0000	0.0368	0.00100	100.00	99.24
FBtr0239560	Damr_w11	Dmon_Col	0.0172	0.0521	0.33014	96.00	96.38
FBtr0239560	Damr_w11	Dmon_Oul	0.0172	0.0521	0.33014	96.00	96.48
FBtr0239560	Damr_w11	Dmon_Van	0.0172	0.0521	0.33014	96.00	96.48
FBtr0239560	Dnov_4	Dmon_Col	0.0171	0.0662	0.25897	96.00	96.19
FBtr0239560	Dnov_4	Dmon_Oul	0.0171	0.0662	0.25897	96.00	96.29
FBtr0239560	Dnov_4	Dmon_Van	0.0171	0.0662	0.25897	96.00	96.29
FBtr0239560	Dmon_Col	Dmon_Oul	0.0000	0.0000	0.05848	100.00	99.90
FBtr0239560	Dmon_Col	Dmon_Van	0.0000	0.0000	0.15221	100.00	99.90
FBtr0239560	Dmon_Oul	Dmon_Van	0.0000	0.0000	0.00100	100.00	100.00
