TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0436446	Damr_ML95	Damr_w11	0.0015	0.0028	0.51836	99.22	99.22
FBtr0436446	Damr_ML95	Damr_H5	0.0000	0.0056	0.00100	99.48	99.13
FBtr0436446	Damr_ML95	Dnov_4	0.0012	0.0199	0.06232	99.48	99.39
FBtr0436446	Damr_ML95	Dlum_LM8	0.0088	0.0480	0.18384	97.66	98.01
FBtr0436446	Damr_ML95	Dvir_S9	0.0384	0.1348	0.28514	92.21	94.37
FBtr0436446	Damr_ML95	Dvir_87	0.0375	0.1430	0.26212	92.47	94.20
FBtr0436446	Damr_ML95	Dmon_Col	0.0660	0.1373	0.48103	85.71	91.69
FBtr0436446	Damr_ML95	Dmon_Oul	0.0660	0.1373	0.48103	85.71	91.69
FBtr0436446	Damr_w11	Damr_H5	0.0015	0.0028	0.51941	98.96	98.79
FBtr0436446	Damr_w11	Dnov_4	0.0025	0.0152	0.16654	98.96	98.87
FBtr0436446	Damr_w11	Dlum_LM8	0.0101	0.0432	0.23479	97.14	97.58
FBtr0436446	Damr_w11	Dvir_S9	0.0399	0.1335	0.29906	91.43	93.85
FBtr0436446	Damr_w11	Dvir_87	0.0389	0.1419	0.27398	91.69	93.68
FBtr0436446	Damr_w11	Dmon_Col	0.0660	0.1326	0.49790	85.45	91.52
FBtr0436446	Damr_w11	Dmon_Oul	0.0660	0.1326	0.49790	85.45	91.52
FBtr0436446	Damr_H5	Dnov_4	0.0012	0.0137	0.08698	99.48	99.05
FBtr0436446	Damr_H5	Dlum_LM8	0.0087	0.0410	0.21290	97.66	97.66
FBtr0436446	Damr_H5	Dvir_S9	0.0384	0.1308	0.29342	91.69	93.77
FBtr0436446	Damr_H5	Dvir_87	0.0373	0.1392	0.26837	91.95	93.68
FBtr0436446	Damr_H5	Dmon_Col	0.0659	0.1285	0.51264	85.71	91.34
FBtr0436446	Damr_H5	Dmon_Oul	0.0659	0.1285	0.51264	85.71	91.34
FBtr0436446	Dnov_4	Dlum_LM8	0.0074	0.0457	0.16243	98.18	98.27
FBtr0436446	Dnov_4	Dvir_S9	0.0370	0.1357	0.27291	92.21	94.37
FBtr0436446	Dnov_4	Dvir_87	0.0360	0.1441	0.24973	92.47	94.20
FBtr0436446	Dnov_4	Dmon_Col	0.0646	0.1419	0.45524	86.23	91.77
FBtr0436446	Dnov_4	Dmon_Oul	0.0646	0.1419	0.45524	86.23	91.77
FBtr0436446	Dlum_LM8	Dvir_S9	0.0344	0.1030	0.33376	92.47	95.06
FBtr0436446	Dlum_LM8	Dvir_87	0.0334	0.1106	0.30211	92.73	94.89
FBtr0436446	Dlum_LM8	Dmon_Col	0.0594	0.0984	0.60308	87.79	92.99
FBtr0436446	Dlum_LM8	Dmon_Oul	0.0594	0.0984	0.60308	87.79	92.99
FBtr0436446	Dvir_S9	Dvir_87	0.0012	0.0328	0.03775	99.74	99.13
FBtr0436446	Dvir_S9	Dmon_Col	0.0818	0.1753	0.46635	84.16	90.13
FBtr0436446	Dvir_S9	Dmon_Oul	0.0818	0.1753	0.46635	83.90	90.04
FBtr0436446	Dvir_87	Dmon_Col	0.0833	0.1805	0.46149	83.90	89.87
FBtr0436446	Dvir_87	Dmon_Oul	0.0833	0.1805	0.46149	83.64	89.78
FBtr0436446	Dmon_Col	Dmon_Oul	0.0000	0.0000	0.00100	97.92	98.70
