TRANSCRIPT	SEQ1	SEQ2	Ka	Ks	Ka/Ks	PROT_PERCENTID	CDNA_PERCENTID
FBtr0226465	Dvir_S9	Dvir_87	0.0000	0.0000	0.48680	100.00	99.78
FBtr0226465	Dvir_S9	Dmon_Oul	0.0166	0.0730	0.22698	94.19	93.76
FBtr0226465	Dvir_S9	Dmon_Van	0.0166	0.0730	0.22699	94.19	92.90
FBtr0226465	Dvir_S9	Dmon_Col	0.0166	0.0730	0.22699	94.84	92.90
FBtr0226465	Dvir_S9	Dlum_LM8	0.0000	0.0000	40.98326	96.77	96.77
FBtr0226465	Dvir_S9	Damr_H5	0.0175	0.0109	1.61305	94.19	95.48
FBtr0226465	Dvir_S9	Damr_w11	0.0177	0.0211	0.83911	94.19	95.70
FBtr0226465	Dvir_S9	Damr_ML95	0.0175	0.0109	1.61305	93.55	94.19
FBtr0226465	Dvir_S9	Dnov_4	0.0175	0.0109	1.61305	93.55	94.62
FBtr0226465	Dvir_87	Dmon_Oul	0.0166	0.0730	0.22699	94.19	93.98
FBtr0226465	Dvir_87	Dmon_Van	0.0166	0.0730	0.22699	94.19	93.12
FBtr0226465	Dvir_87	Dmon_Col	0.0166	0.0730	0.22698	94.84	93.12
FBtr0226465	Dvir_87	Dlum_LM8	0.0000	0.0000	2.00130	96.77	96.99
FBtr0226465	Dvir_87	Damr_H5	0.0175	0.0109	1.61305	94.19	95.70
FBtr0226465	Dvir_87	Damr_w11	0.0177	0.0211	0.83911	94.19	95.91
FBtr0226465	Dvir_87	Damr_ML95	0.0175	0.0109	1.61305	93.55	94.41
FBtr0226465	Dvir_87	Dnov_4	0.0175	0.0109	1.61305	93.55	94.84
FBtr0226465	Dmon_Oul	Dmon_Van	0.0000	0.0000	99.00000	97.42	97.42
FBtr0226465	Dmon_Oul	Dmon_Col	0.0000	0.0000	0.22767	96.77	97.20
FBtr0226465	Dmon_Oul	Dlum_LM8	0.0166	0.0730	0.22698	93.55	92.26
FBtr0226465	Dmon_Oul	Damr_H5	0.0353	0.0935	0.37778	89.03	91.61
FBtr0226465	Dmon_Oul	Damr_w11	0.0354	0.1036	0.34175	89.03	92.04
FBtr0226465	Dmon_Oul	Damr_ML95	0.0353	0.0935	0.37778	90.32	91.61
FBtr0226465	Dmon_Oul	Dnov_4	0.0353	0.0935	0.37778	90.32	91.61
FBtr0226465	Dmon_Van	Dmon_Col	0.0000	0.0000	0.81947	99.35	99.78
FBtr0226465	Dmon_Van	Dlum_LM8	0.0166	0.0730	0.22699	93.55	91.61
FBtr0226465	Dmon_Van	Damr_H5	0.0353	0.0935	0.37778	89.03	90.75
FBtr0226465	Dmon_Van	Damr_w11	0.0354	0.1036	0.34175	89.03	91.18
FBtr0226465	Dmon_Van	Damr_ML95	0.0353	0.0935	0.37778	91.61	93.33
FBtr0226465	Dmon_Van	Dnov_4	0.0353	0.0935	0.37778	91.61	93.33
FBtr0226465	Dmon_Col	Dlum_LM8	0.0166	0.0730	0.22699	94.19	91.61
FBtr0226465	Dmon_Col	Damr_H5	0.0353	0.0935	0.37778	89.68	90.75
FBtr0226465	Dmon_Col	Damr_w11	0.0354	0.1036	0.34175	89.68	91.18
FBtr0226465	Dmon_Col	Damr_ML95	0.0353	0.0935	0.37778	92.26	93.33
FBtr0226465	Dmon_Col	Dnov_4	0.0353	0.0935	0.37778	92.26	93.33
FBtr0226465	Dlum_LM8	Damr_H5	0.0175	0.0109	1.61305	92.26	94.84
FBtr0226465	Dlum_LM8	Damr_w11	0.0177	0.0211	0.83911	92.26	94.84
FBtr0226465	Dlum_LM8	Damr_ML95	0.0175	0.0109	1.61305	93.55	93.76
FBtr0226465	Dlum_LM8	Dnov_4	0.0175	0.0109	1.61305	93.55	93.98
FBtr0226465	Damr_H5	Damr_w11	0.0000	0.0073	0.00100	99.35	98.71
FBtr0226465	Damr_H5	Damr_ML95	0.0000	0.0000	1.29167	97.42	96.99
FBtr0226465	Damr_H5	Dnov_4	0.0000	0.0000	1.42035	97.42	96.99
FBtr0226465	Damr_w11	Damr_ML95	0.0000	0.0073	0.00100	97.42	97.20
FBtr0226465	Damr_w11	Dnov_4	0.0000	0.0073	0.00100	97.42	97.20
FBtr0226465	Damr_ML95	Dnov_4	0.0000	0.0000	0.00100	100.00	99.57
